,project_name,date,duration,emissions,emissions_rate,cpu_power,ram_power,cpu_energy,ram_energy,energy_consumed
442,projectexcecuterdataload,2022-03-19,0.0026187896728515,1.6073353409767148e-10,6.137703068099054e-08,5.0,6.0,3.244479497273763e-09,3.613630930582681e-09,6.858110427856445e-09
443,projectexcecuterdataload,2022-03-20,0.0021963119506835,1.4441866285271115e-10,6.575507764630678e-08,5.0,6.0,2.9282437430487742e-09,3.233750661214192e-09,6.161994404262967e-09
444,projectexcecuterdataload,2022-03-21,0.0021800994873046,1.4239463163746729e-10,6.531565759575194e-08,5.0,6.0,2.887182765536838e-09,3.1884511311848956e-09,6.075633896721733e-09
445,projectexcecuterdataload,2022-03-22,0.0023198127746582,1.4961998846795827e-10,6.449657925088502e-08,5.0,6.0,3.062354193793403e-09,3.3215681711832687e-09,6.383922364976671e-09
446,projectexcecuterdataload,2022-03-23,0.0031311511993408,2.0807165066401166e-10,6.645212492702862e-08,5.0,6.0,4.17629877726237e-09,4.701614379882813e-09,8.877913157145183e-09
447,projectexcecuterdataload,2022-03-24,0.0023379325866699,1.5405609369277955e-10,6.589415561900878e-08,5.0,6.0,3.123283386230469e-09,3.449916839599609e-09,6.573200225830078e-09
448,projectexcecuterdataload,2022-03-25,0.0016560554504394,1.0806836605072023e-10,6.525649006622518e-08,5.0,6.0,2.187490463256836e-09,2.423524856567383e-09,4.6110153198242195e-09
449,projectexcecuterdataload,2022-03-26,0.0023500919342041,1.5468161867724523e-10,6.58193904782839e-08,5.0,6.0,3.134873178270128e-09,3.465016682942708e-09,6.599889861212836e-09
450,projectexcecuterdataload,2022-03-27,0.0023002624511718,1.513335854477353e-10,6.578970385341811e-08,5.0,6.0,3.068314658270942e-09,3.3887227376302083e-09,6.45703739590115e-09
451,projectexcecuterdataload,2022-03-28,0.0026288032531738,1.7441281868351832e-10,6.634685135638995e-08,5.0,6.0,3.515018357170952e-09,3.926753997802735e-09,7.441772354973687e-09
452,projectexcecuterdataload,2022-03-29,0.0019679069519042,1.2869982533984718e-10,6.539934482944299e-08,5.0,6.0,2.617968453301324e-09,2.8733412424723313e-09,5.491309695773655e-09
453,projectexcecuterdataload,2022-03-30,0.0015561580657958,1.0232688486576084e-10,6.575609966293858e-08,5.0,6.0,2.079208691914876e-09,2.286831537882487e-09,4.366040229797364e-09
454,projectexcecuterdataload,2022-03-31,0.0023801326751708,1.5501688765154943e-10,6.512951537057444e-08,5.0,6.0,3.1428204642401804e-09,3.4713745117187504e-09,6.614194975958931e-09
455,projectexcecuterdataload,2022-04-01,0.002181053161621,1.4478652742173934e-10,6.63837681581888e-08,5.0,6.0,2.919303046332465e-09,3.258387247721354e-09,6.177690294053819e-09
456,projectexcecuterdataload,2022-04-02,0.0024280548095703,1.6021666109561923e-10,6.598560315200315e-08,5.0,6.0,3.2474597295125327e-09,3.588596979777018e-09,6.836056709289551e-09
457,projectexcecuterdataload,2022-04-03,0.0022163391113281,1.4586218204763204e-10,6.58122131681488e-08,5.0,6.0,2.960032886928982e-09,3.263552983601888e-09,6.2235858705308705e-09
458,projectexcecuterdataload,2022-04-04,0.0029141902923583,1.875193521049288e-10,6.434698262383303e-08,5.0,6.0,3.8640366660224066e-09,4.136959711710612e-09,8.000996377733018e-09
459,projectexcecuterdataload,2022-04-05,0.0023391246795654,1.5081360810332828e-10,6.447437771095937e-08,5.0,6.0,3.087851736280652e-09,3.346999486287435e-09,6.434851222568088e-09
460,projectexcecuterdataload,2022-04-06,0.0031399726867675,2.1168510516484568e-10,6.741622500632753e-08,5.0,6.0,4.231929779052734e-09,4.800160725911458e-09,9.032090504964192e-09
461,projectexcecuterdataload,2022-04-07,0.0024201869964599,1.6166572683276153e-11,6.679885772018116e-09,5.0,6.0,3.223949008517795e-09,3.57667605082194e-09,6.8006250593397356e-09
462,projectexcecuterdataload,2022-04-08,0.0022399425506591,1.43029469648997e-10,6.3854079474898e-08,5.0,6.0,2.892812093098958e-09,3.2099088033040362e-09,6.102720896402995e-09
463,projectexcecuterdataload,2022-04-09,0.0021920204162597,1.4475548399819272e-10,6.603747069344743e-08,5.0,6.0,2.927912606133355e-09,3.248453140258789e-09,6.176365746392144e-09
464,projectexcecuterdataload,2022-04-10,0.0022850036621093,1.4884700722164578e-10,6.514081779818216e-08,5.0,6.0,3.044472800360785e-09,3.306468327840168e-09,6.350941128200955e-09
465,projectexcecuterdataload,2022-04-11,0.0022981166839599,1.5168592830499015e-10,6.600445023688489e-08,5.0,6.0,3.0666589736938474e-09,3.405412038167317e-09,6.4720710118611664e-09
466,projectexcecuterdataload,2022-04-12,0.004141092300415,2.739582127994961e-10,6.615602670146687e-08,5.0,6.0,5.541907416449653e-09,6.147225697835287e-09,1.1689133114284942e-08
467,projectexcecuterdataload,2022-04-13,0.0021569728851318,1.3905591143502132e-10,6.446808506196039e-08,5.0,6.0,2.8583738538953994e-09,3.074804941813151e-09,5.9331787957085514e-09
468,projectexcecuterdataload,2022-04-14,0.0021579265594482,1.4246758368280203e-10,6.602058956039236e-08,5.0,6.0,2.8835402594672312e-09,3.1952063242594403e-09,6.078746583726672e-09
469,projectexcecuterdataload,2022-04-15,0.0022871494293212,1.4797468701998394e-10,6.469830310295704e-08,5.0,6.0,3.000100453694661e-09,3.3136208852132167e-09,6.313721338907878e-09
470,projectexcecuterdataload,2022-04-16,0.0023350715637207,1.5154002421432075e-10,6.489737897919364e-08,5.0,6.0,3.095799022250705e-09,3.370046615600586e-09,6.465845637851292e-09
471,projectexcecuterdataload,2022-04-17,0.0021440982818603,1.3820842597219682e-10,6.445993037794829e-08,5.0,6.0,2.798769209120009e-09,3.098249435424805e-09,5.897018644544814e-09
472,projectexcecuterdataload,2022-04-18,0.002187967300415,1.4430069784323375e-10,6.595194444444446e-08,5.0,6.0,2.9236078262329104e-09,3.23335329691569e-09,6.156961123148601e-09
473,projectexcecuterdataload,2022-04-19,0.0021991729736328,1.4483774907059139e-10,6.586009868579552e-08,5.0,6.0,2.936191029018826e-09,3.243684768676758e-09,6.179875797695584e-09
474,projectexcecuterdataload,2022-04-20,0.0021712779998779,1.4351840356985731e-10,6.609858506277224e-08,5.0,6.0,2.901752789815267e-09,3.2218297322591147e-09,6.123582522074382e-09
475,projectexcecuterdataload,2022-04-21,0.0022010803222656,1.443829629156325e-10,6.559640802522628e-08,5.0,6.0,2.931886249118381e-09,3.2285849253336594e-09,6.16047117445204e-09
476,projectexcecuterdataload,2022-04-22,0.0021612644195556,1.376139444112778e-10,6.36728866519581e-08,5.0,6.0,2.8183062871297203e-09,3.0533472696940102e-09,5.871653556823731e-09
477,projectexcecuterdataload,2022-04-23,0.0022611618041992,1.4919003705183666e-10,6.597937253971602e-08,5.0,6.0,3.016988436381022e-09,3.348588943481445e-09,6.365577379862467e-09
478,projectexcecuterdataload,2022-04-24,0.002403974533081,1.5920930200152926e-10,6.622753270080557e-08,5.0,6.0,3.2179885440402563e-09,3.575086593627929e-09,6.793075137668186e-09
479,projectexcecuterdataload,2022-04-25,0.0021212100982666,1.3770086599720852e-10,6.4916184450439e-08,5.0,6.0,2.791815333896213e-09,3.0835469563802083e-09,5.875362290276422e-09
480,projectexcecuterdataload,2022-04-26,0.0024161338806152,1.5431530627939435e-10,6.386869019033835e-08,5.0,6.0,3.127588166130913e-09,3.456672032674153e-09,6.584260198805066e-09
