,energy_consumed_log_cumsum,energy_consumed_cumsum,energy_consumed_log,emissions_rate_log_cumsum,emissions_rate_cumsum,emissions_rate_log,emissions_log_cumsum,emissions_cumsum,emissions_log,duration_log_cumsum,duration_cumsum,duration_log,timestamp,project_name,duration,emissions,emissions_rate,energy_consumed,date
245,0.8315869807478147,2.2969610823525315,-3.9813112076077637,6.358109449438607,577.1541851478055,1.9388793199659409,1.6833178579235066,5.383387688709629,-3.129580330432072,4.340415973370647,76.73945426940878,-0.46328946440992685,1648080000.0,LogisticRegression model,0.62921047210693,0.04373614813221825,6.95095680556082,0.018661154641045466,2022-03-24
248,0.8444982147156377,2.3268099625905347,-3.5116079528118718,6.370195103742011,584.1717918762035,1.9484222380300193,1.6962290918913296,5.453344509323437,-2.65987707563618,4.353322716081643,77.73633003234823,-0.0031291276781107913,1648166400.0,LogisticRegression model,0.99687576293945,0.06995682061380812,7.0176067283980155,0.0298488802380032,2022-03-25
251,0.8573724192749614,2.3569594489203554,-3.501587393107628,6.38213786712067,591.1902437946252,1.948542669277275,1.7091032964506534,5.524005860434637,-2.649856515931936,4.3661909597117745,78.7431240081783,0.006771000778871865,1648252800.0,LogisticRegression model,1.00679397583007,0.07066135111120013,7.01845191842169,0.030149486329820424,2022-03-26
254,0.8715690827921195,2.390659054120381,-3.39026915682521,6.393860519315052,598.1613414491125,1.9417726950831256,1.7232999599678114,5.602987625141938,-2.538538279649518,4.3804768460958,79.87611293792683,0.12485921125544332,1648339200.0,LogisticRegression model,1.13298892974853,0.07898176470730041,6.971097654487259,0.033699605200025774,2022-03-27
257,0.8839707870049863,2.420491907331678,-3.512145035975019,6.405555231944542,605.1977305226178,1.9510951228884348,1.7357016641806782,5.672906883213255,-2.6604141587993273,4.392840378469715,80.86979389190633,-0.006339095699672674,1648425600.0,LogisticRegression model,0.99368095397949,0.0699192580713166,7.036389073505341,0.02983285321129693,2022-03-28
260,0.8959447663582704,2.449649042553371,-3.5350556200940386,6.417098131582538,612.2239405927006,1.9496474523552287,1.7476756435339624,5.741242461032337,-2.683324742918348,4.404795138837658,81.84237480163533,-0.02780200928548806,1648512000.0,LogisticRegression model,0.9725809097289999,0.0683355778190824,7.026210070082831,0.02915713522169325,2022-03-29
263,0.9089336883155936,2.481674883100721,-3.441212184944252,6.4284887188362045,619.237398679742,1.9478308871194285,1.7606645654912856,5.816301423523161,-2.5894813077685606,4.4177868976523325,82.91258811950642,0.06785799110009895,1648598400.0,LogisticRegression model,1.07021331787109,0.07505896249082354,7.013458087041329,0.03202584054734972,2022-03-30
266,0.9257491185735044,2.5237581464979377,-3.168105161344472,6.439742419839922,626.2454706262099,1.9470626199152814,1.7774799957491962,5.914931967947218,-2.31637428416878,4.434618764488719,84.31997299194295,0.3417332819040271,1648684800.0,LogisticRegression model,1.4073848724365199,0.09863054442405701,7.008071946467898,0.0420832633972168,2022-03-31
269,0.9365079937452817,2.551057537396748,-3.6008908884390087,6.4508124456963545,633.2165379369551,1.9417683422810743,1.7882388709209738,5.97891355039676,-2.749160011263317,4.445444870174818,85.23778915405232,-0.08575816755630546,1648771200.0,LogisticRegression model,0.91781616210937,0.06398158244954216,6.971067310745129,0.027299390898810495,2022-04-01
272,0.9477580674485613,2.5799191660351215,-3.545242294852585,6.461864700693444,640.2538258981726,1.9512228631671351,1.7994889446242532,6.046556549436516,-2.693511417676894,4.456658547643297,86.19899749755817,-0.039564094855946606,1648857600.0,LogisticRegression model,0.96120834350585,0.0676429990397559,7.037287961217496,0.02886162863837349,2022-04-02
275,0.9571215764529043,2.604189713795979,-3.718491690035706,6.472777521066582,647.279063753523,1.9495090730594975,1.8088524536285961,6.103439432223637,-2.866760812860016,4.466008008309641,87.00869083404498,-0.21109969993142844,1648944000.0,LogisticRegression model,0.80969333648681,0.0568828827871216,7.02523785535042,0.024270547760857485,2022-04-03
278,0.9641261656555234,2.6224950287077156,-4.0005638289667464,6.483559992427046,654.2960942014078,1.9483401154205942,1.8158570428312153,6.146341598782274,-3.148832951791055,4.473010325963078,87.62009143829303,-0.4920028812235688,1649030400.0,LogisticRegression model,0.61140060424804,0.042902166558636566,7.017030447884713,0.018305314911736384,2022-04-04
281,0.9764274770340248,2.6549543937047315,-3.427766279717478,6.494173226149519,661.2772724809431,1.943217710484181,1.8281583542097168,6.22241661252578,-2.576035402541787,4.4853704513649335,88.70980739593463,0.08591707296212281,1649116800.0,LogisticRegression model,1.0897159576416,0.0760750137435065,6.98117827953539,0.032459364997016064,2022-04-05
284,0.9858349576624358,2.680048677656385,-3.6851151897888688,6.50474710978246,668.3066397708743,1.9500967003399399,1.8375658348381276,6.28123008582327,-2.8333843126131764,4.494757928582364,89.54648971557575,-0.178310826965029,1649203200.0,LogisticRegression model,0.83668231964111,0.058813473297490024,7.0293672899312005,0.025094283951653373,2022-04-06
287,0.9963971869758544,2.7085059881210323,-3.559350193082362,6.5151920814739634,675.3236662310437,1.948339547129416,1.8481280641515463,6.347925484359264,-2.7076193159066713,4.505316360896727,90.49696922302202,-0.05078867704800396,1649289600.0,LogisticRegression model,0.9504795074462801,0.0666953985359933,7.0170264601693475,0.028457310464647084,2022-04-07
290,1.0054213961995613,2.7330587307612095,-3.7069317144772596,6.525544973755279,682.3515360201322,1.9498836427042272,1.8571522733752532,6.405469747285047,-2.855200837301568,4.514323501592237,91.31577014923052,-0.19991429401771127,1649376000.0,LogisticRegression model,0.81880092620849,0.0575442629257838,7.02786978908851,0.024552742640177413,2022-04-08
293,1.0148897294991688,2.759059137768215,-3.649643086967584,6.535752940213347,689.35263028592,1.946066460521995,1.8666206066748605,6.466406901187366,-2.797912209791892,4.523810063510823,92.18616485595659,-0.13880848432580054,1649462400.0,LogisticRegression model,0.87039470672607,0.060937153902318755,7.001094265787689,0.02600040700700548,2022-04-09
296,1.0230246678575918,2.781595455275641,-3.7926271596083985,6.545897018931454,696.3810658638599,1.9499641459142751,1.8747555450332836,6.51922526852952,-2.9408962824327065,4.531928948143942,92.93766021728472,-0.2856902423588967,1649548800.0,LogisticRegression model,0.75149536132812,0.0528183673421542,7.028435577939935,0.022536317507425945,2022-04-10
299,1.0319669671744371,2.8065808614095045,-3.6894633792104705,6.555870611075637,703.3612374226427,1.9430734950944035,1.8836978443501289,6.577783564885456,-2.83773250203478,4.540915183818625,93.77658367156937,-0.17563581114110022,1649635200.0,LogisticRegression model,0.83892345428466,0.0585582963559362,6.980171558782759,0.02498540613386366,2022-04-11
302,1.0415946534267855,2.833732234107123,-3.6063276741153483,6.565816719752396,710.3918503908252,1.9502738952195429,1.8933255306024772,6.641418237076864,-2.7545967969396576,4.550520656511985,94.68169212341263,-0.09970050617111068,1649721600.0,LogisticRegression model,0.9051084518432599,0.0636346721914079,7.03061296818247,0.027151372697618283,2022-04-12
305,1.0513121895576492,2.861403359307183,-3.5873658210278205,6.575666071717366,717.4233206276382,1.9503958214831132,1.9030430667333407,6.706271053208243,-2.735634943852129,4.560214810772669,95.60401439666703,-0.08086057934715553,1649808000.0,LogisticRegression model,0.92232227325439,0.06485281613137987,7.031470236813007,0.027671125200059682,2022-04-13
308,1.0607762310438174,2.888612349828084,-3.6042078264378064,6.585415258901007,724.4518202801879,1.9499732623551902,1.9125071082195089,6.770040764292079,-2.752476949262115,4.569660268821351,96.51131629943802,-0.09728002562922022,1649894400.0,LogisticRegression model,0.90730190277099,0.06376971108383601,7.028499652549672,0.027208990520901147,2022-04-14
311,1.0681170604851389,2.9098951816558833,-3.849854548747697,6.595038004400484,731.4566847348257,1.9466048297998741,1.9198479376608306,6.8199213372468925,-2.998123671572006,4.577011434235617,97.22340106964066,-0.3395583153837972,1649980800.0,LogisticRegression model,0.7120847702026301,0.0498805729548136,7.0048644546377865,0.02128283182779948,2022-04-15
