,energy_consumed_log_cumsum,energy_consumed_cumsum,energy_consumed_log,energy_consumed,emissions_rate_log_cumsum,emissions_rate_cumsum,emissions_rate_log,emissions_rate,emissions_log_cumsum,emissions_cumsum,emissions_log,emissions,duration_log_cumsum,duration_cumsum,duration_log,duration,timestamp,date
49,1.5104194607501713,4.528629978497824,-1.2386777144021288,0.2897671196195814,5.910126135679551,368.75266534404363,3.0310339979046916,20.718644552574666,2.362150337925863,10.61375008060535,-0.3869468372264369,0.6791271982524131,5.005152398766187,149.17981624603246,2.255631924596262,9.541320800781229,1642464000.0,2022-01-18
52,1.5709471188632413,4.811202817493015,-1.2638189244788056,0.2825728389951918,5.964930201761099,389.52583890441144,3.033662421611652,20.773173560367823,2.4226779960389333,11.27601604335838,-0.4120880473031138,0.6622659627530311,5.065614715313037,158.47783088684054,2.229800897886221,9.298014640808091,1642550400.0,2022-01-19
55,1.6211576664018184,5.058943496810066,-1.395372727803451,0.2477406793170505,6.0168832487814905,410.29780462734686,3.033604275823548,20.771965722935413,2.4728885435775103,11.856645873473752,-0.5436418506277588,0.5806298301153714,5.115787124040302,166.63188934326143,2.098515773419793,8.15405845642089,1642636800.0,2022-01-20
58,1.6687119428275654,5.305329826143054,-1.4008545304650686,0.24638632933298749,6.066130421383111,431.0096248888731,3.030704564424243,20.71182026152622,2.5204428200032574,12.434101513531475,-0.5491236532893766,0.5774556400577229,5.163352255338407,174.74927902221648,2.094008634382655,8.11738967895506,1642723200.0,2022-01-21
61,1.723908171466057,5.6063964631822385,-1.2004236532231765,0.30106663703918457,6.113108956586709,451.74097733902164,3.031647165523073,20.731352450148542,2.5756390486417486,13.139711390760212,-0.3486927760474847,0.7056098772287369,5.218625420355537,184.68015193939175,2.2956483812604773,9.93087291717527,1642809600.0,2022-01-22
64,1.76001835698219,5.812544094191658,-1.5791627114818696,0.2061476310094198,6.157947159200109,472.45719923447353,3.0309170598120545,20.716221895451874,2.6117492341578816,13.622859593556989,-0.7274318343061777,0.48314820279677717,5.254768136498663,191.47708415985073,1.9164713663358166,6.796932220458981,1642896000.0,2022-01-23
67,1.7930193973102433,6.00756433275011,-1.6346519383247002,0.19502023855845138,6.200703299559611,493.09571316972546,3.0271589387602402,20.638513935251915,2.644750274485935,14.07992852666643,-0.7829210611490086,0.4570689331094424,5.287845263586256,197.91650772094692,1.8624390269635238,6.439423561096181,1642982400.0,2022-01-24
70,1.828484319833898,6.224445237053766,-1.528406904196691,0.2168809043036567,6.241496931144498,513.6267997148102,3.0219401543787807,20.531086545084726,2.68021519700959,14.588232302082911,-0.6766760270209992,0.5083037754164802,5.323380192099737,205.07590770721401,1.9684261766603837,7.159399986267079,1643068800.0,2022-01-25
73,1.860162939081249,6.424783534473844,-1.607747854286873,0.20033829742007783,6.280809315119807,534.2208419225217,3.0250018207474394,20.594042207711514,2.7118938162569406,15.057765169746348,-0.7560169771111812,0.46953286766343644,5.35510794546401,211.68682575225796,1.8887225315182763,6.61091804504394,1643155200.0,2022-01-26
76,1.8897695829246313,6.617843641175165,-1.6447537048770537,0.1930601067013211,6.319043699872096,555.0419518852124,3.0359673740948154,20.821109962690702,2.741500460100323,15.510240141822235,-0.793022827701362,0.4524749720758863,5.384734139607542,218.05212497711148,1.8508612418790171,6.36529922485351,1643241600.0,2022-01-27
79,1.9179095565744637,6.806714534759522,-1.6666916000717373,0.1888708935843574,6.355691796053096,575.7605117665456,3.0310299111791235,20.718559881333245,2.7696404337501552,15.952896855115894,-0.8149607228960458,0.4426567132936584,5.412933645067414,224.2886066436764,1.8304161878799423,6.23648166656492,1643328000.0,2022-01-28
82,1.9497785786667698,7.027131451500788,-1.512234449924437,0.22041691674126523,6.390822208400767,596.3466994361644,3.0246203494340738,20.58618766961876,2.801509455842462,16.4694879828824,-0.6605035727487454,0.5165911277665032,5.444855354765559,231.5637826919552,1.984468011840887,7.2751760482788,1643414400.0,2022-01-29
85,1.986506860327668,7.290024161338807,-1.3360092774215,0.26289270983801954,6.424672793143907,616.8789374986485,3.0219962393358872,20.53223806248406,2.83823773750336,17.085629626929766,-0.48427840024580837,0.6161416440473663,5.481597145207313,240.2300834655758,2.159442030033757,8.6663007736206,1643500800.0,2022-01-30
88,2.0137376670226317,7.491264939308167,-1.6032531874881357,0.20124077796936038,6.457805265025173,637.6600249266045,3.034043314809878,20.78108742795603,2.8654685441983236,17.557277638256554,-0.7515223103124439,0.4716480113267899,5.508837227451368,246.86391353607138,1.8921823252579306,6.63383007049559,1643587200.0,2022-01-31
91,2.0398933281785365,7.689788871341283,-1.6168456217236309,0.19852393203311497,6.4899385185087795,658.4828774614216,3.0360510631591096,20.822852534817144,2.891624205354228,18.022558177762566,-0.765114744547939,0.46528053950601156,5.535064824950251,253.42421531677203,1.8810366050534735,6.5603017807006605,1643673600.0,2022-02-01
94,2.078975563225173,7.996273040771485,-1.1825891744333805,0.30648416943020285,6.5208639395948715,679.1648893903175,3.029264333539326,20.682011928895896,2.930706440400865,18.740865125656132,-0.3308582972576886,0.7183069478935665,5.574112989849873,263.515710830688,2.3116930408170866,10.091495513916,1643760000.0,2022-02-02
97,2.1027013724250514,8.18825960159302,-1.6503299051253515,0.19198656082153323,6.550619645401802,699.6775915217037,3.021044310426704,20.512702131386174,2.954432249600743,19.19082402825356,-0.7985990279496596,0.44995890259742743,5.597876290778926,269.8527097702022,1.846405302993116,6.33699893951414,1643846400.0,2022-02-03
100,2.126070841426252,8.381868335935806,-1.641915989750372,0.19360873434278705,6.579746231839175,720.3565025075585,3.0291143879951585,20.67891098585485,2.977801718601944,19.64458481893275,-0.7901851125746803,0.45376079067918995,5.621277443685143,276.24204158782914,1.854629696040403,6.38933181762694,1643932800.0,2022-02-04
103,2.1495461159050393,8.580962750646805,-1.613976120987547,0.19909441471099854,6.60809711274861,741.0715006517225,3.0308579859403673,20.714998144163996,3.0012769930807313,20.111202398690917,-0.7622452438118551,0.4666175797581673,5.6447825321416225,282.81204700469925,1.8825146569817348,6.570005416870099,1644019200.0,2022-02-05
106,2.172535197188813,8.780516187349956,-1.611673225369837,0.19955343670315212,6.635647428609009,761.7720992541822,3.030162617846427,20.700598602459674,3.0242660743645047,20.578895788292094,-0.7599423481941449,0.46769338960117773,5.667794179616189,289.3954753875728,1.8845556404796342,6.58342838287352,1644105600.0,2022-02-06
109,2.20487842269262,9.069148898124697,-1.2426002961173774,0.2886327107747396,6.662448923985186,782.4647895214254,3.029780510720916,20.692690267243165,3.0566092998683114,21.25536427253485,-0.3908694189416856,0.6764684842427573,5.700079822424421,298.89125823974564,2.250847789751555,9.49578285217284,1644192000.0,2022-02-07
112,2.2302670725589695,9.302350150214304,-1.4558534553538054,0.2332012520896064,6.688481794991737,803.1020525634507,3.0270983272675624,20.637263042025282,3.081997949734661,21.801918047057264,-0.6041225781781137,0.5465537745224105,5.725466351879553,306.5762042999263,2.0392633581215107,7.68494606018066,1644278400.0,2022-02-08
115,2.2542358841058436,9.528010023964779,-1.4887263967398892,0.2256598737504747,6.7139572166389465,823.8242486108052,3.031205398616506,20.722196047354476,3.1059667612815356,22.33079709316625,-0.6369955195641972,0.5288790461089876,5.749458923935196,314.02070522308304,2.0074756287186615,7.4445009231567205,1644364800.0,2022-02-09
118,2.2760865901866465,9.73849501874712,-1.5583409120948422,0.21048499478234187,6.738804943419365,844.5508464869864,3.031417797020736,20.726597876181234,3.127817467362338,22.824110775437624,-0.7066100349191503,0.4933136822713747,5.771372206644912,320.9778785705562,1.9397732636173008,6.957173347473129,1644451200.0,2022-02-10
121,2.29647555516371,9.93909087446001,-1.6064630631248868,0.20059585571289062,6.762987407074253,865.2231123922754,3.028792990582915,20.672265905289024,3.148206432339402,23.294247282471925,-0.7547321859491949,0.4701365070343018,5.7917806228493145,327.5958299636836,1.8897858648256396,6.61795139312742,1644537600.0,2022-02-11
124,2.3180486994569347,10.155837866995071,-1.5290245386885148,0.21674699253506136,6.786683233410488,885.9701270692098,3.032402365335167,20.74701467693433,3.1697795766326267,23.80223720887635,-0.6772936615128232,0.5079899264044232,5.813353241456301,334.7397089004512,1.9662558972894515,7.14387893676756,1644624000.0,2022-02-12
127,2.344783626831797,10.431015491485597,-1.2903384825855897,0.275177624490526,6.8097095612549765,906.6074547741927,3.0271014605733764,20.637327704982866,3.1965145040074887,24.447171007394793,-0.438607605409898,0.6449337985184458,5.840068750876004,343.8029766082759,2.2042297291804362,9.06326770782469,1644710400.0,2022-02-13
130,2.367839206093068,10.674302379290264,-1.4135139237618095,0.24328688780466717,6.83221388139009,927.2413441805578,3.0269348408870043,20.633889406365178,3.21957008326876,25.01736248634259,-0.5617830465861177,0.5701914789477985,5.863114508296906,351.81818008422806,2.0813401726328653,8.01520347595213,1644796800.0,2022-02-14
133,2.386609437656856,10.8765537208981,-1.5982440896522585,0.20225134160783556,6.854298382594188,947.9468000543253,3.030397234324211,20.705455873767463,3.238340314832548,25.491378955668875,-0.7465132124765669,0.47401646932628416,5.881885907382587,358.4846735000606,1.8970939969230738,6.666493415832511,1644883200.0,2022-02-15
136,2.4104201010358204,11.138639516300627,-1.339083365457044,0.26208579540252686,6.875884050370838,968.6313060470052,3.029384917234176,20.68450599267991,3.262150978211512,26.105629434353776,-0.4873524882813519,0.6142504786849023,5.905677285196607,367.1157836914058,2.1553731400828227,8.631110191345199,1644969600.0,2022-02-16
139,2.436477475589575,11.432697772979738,-1.2239773793031985,0.29405825667911106,6.897094158133361,989.3955074809509,3.0332304190326282,20.764201433945654,3.2882083527652664,26.79481377053261,-0.37224650212750654,0.6891843361788327,5.931688316820806,376.7901182174678,2.2694764537142276,9.67433452606199,1645056000.0,2022-02-17
