,energy_consumed_log_cumsum,energy_consumed_cumsum,energy_consumed_log,emissions_rate_log_cumsum,emissions_rate_cumsum,emissions_rate_log,emissions_log_cumsum,emissions_cumsum,emissions_log,duration_log_cumsum,duration_cumsum,duration_log,timestamp,project_name,duration,emissions,emissions_rate,energy_consumed,date
87,1.7775069666838073,5.915091501341926,-1.8449151153077785,5.298440933227498,200.02471486282764,1.9653688372686302,2.629237843859499,13.863199951695073,-0.9931842381320867,5.268099896113475,194.04690265655512,1.6466171105873728,1643328000.0,XGBoost model,5.18939495086669,0.3703953841328622,7.137544697209859,0.1580387353897095,2022-01-28
90,1.8089668633599507,6.104137765036689,-1.6657635124228132,5.333523818951812,207.1667074099641,1.965991805645593,2.6606977405356425,14.30626767991649,-0.8140326352471214,5.299569591030064,200.2506017684936,1.825145745095376,1643414400.0,XGBoost model,6.20369911193847,0.4430677282214165,7.141992547136456,0.1890462636947632,2022-01-29
93,1.8463749321977905,6.336806482738918,-1.4581396495876322,5.36740913939538,214.30690848241989,1.965740937363344,2.6981058093734824,14.851573353595205,-0.6064087724119407,5.3369981313674995,207.8877210617065,2.0330204762128066,1643500800.0,XGBoost model,7.637119293212891,0.5453056736787161,7.140201072455806,0.23266871770222988,2022-01-30
96,1.8729174291241013,6.507253183258904,-1.7693326380511998,5.400193199480655,221.4491959411899,1.966033097419976,2.7246483062997933,15.251049285603894,-0.9176017608755079,5.363547040312247,213.48083019256586,1.7215353276926069,1643587200.0,XGBoost model,5.593109130859371,0.39947593200869036,7.142287458770028,0.17044670051998564,2022-01-31
99,1.8973901263150588,6.668467852804395,-1.8250184509068053,5.431868573771866,228.57595766756964,1.9638569554338061,2.7491210034907505,15.628888106617662,-0.9732875737311134,5.388078178390305,218.7825202941894,1.668025656823171,1643673600.0,XGBoost model,5.301690101623531,0.37783882101376853,7.126761726379728,0.16121466954549155,2022-02-01
102,1.9377691682257547,6.943244470490349,-1.291796810733235,5.462653814053945,235.72215781061146,1.9665807669114777,2.7895000454014465,16.272882065488233,-0.4400659335575429,5.4284426690551175,227.79421806335444,2.19852348551907,1643760000.0,XGBoost model,9.01169776916503,0.6439939588705699,7.1462001430418365,0.27477661768595374,2022-02-02
105,1.960779347910166,7.104862067434522,-1.8225222468421736,5.492497657463687,242.86303864398974,1.965836134761899,2.812510225085858,16.65166522744629,-0.9707913696664819,5.451461754427504,233.09864997863764,1.6685426815597102,1643846400.0,XGBoost model,5.3044319152832,0.3787831619580587,7.140880833378284,0.16161759694417321,2022-02-03
108,1.9835541064362983,7.268530262841118,-1.8099140993295166,5.521471889198821,250.0027428491901,1.9656713476502474,2.83528498361199,17.035254377020728,-0.9581832221538249,5.474248840210712,238.4712696075439,1.681315616184019,1643932800.0,XGBoost model,5.37261962890625,0.3835891495744388,7.1397042052003465,0.1636681954065959,2022-02-04
111,2.006369955957385,7.436274290084838,-1.7853161088687224,5.549622597612752,257.1404921552837,1.9653975034220195,2.858100833133077,17.428396053671836,-0.9335852316930304,5.497082942066897,243.97919178009028,1.7061874508730401,1644019200.0,XGBoost model,5.50792217254638,0.39314167665110705,7.137749306093633,0.16774402724372017,2022-02-05
114,2.028647255547954,7.603793409135606,-1.7866577906442267,5.577023142155902,264.2836986229526,1.9661617606506432,2.880378132723646,17.82101061299112,-0.9349269134685347,5.51936082144143,249.47552680969233,1.7040815118689132,1644105600.0,XGBoost model,5.49633502960205,0.3926145593192843,7.143206467668887,0.1675191190507677,2022-02-06
