date,duration,emissions,emissions_rate,cpu_power,ram_power,cpu_energy,ram_energy,energy_consumed
2022-03-07,0.0748531818389892,5.31481571522024e-09,2.0673702819649232e-07,15.0,18.0,1.0346339808570017e-07,1.233069101969401e-07,2.2677030828264035e-07
2022-03-08,0.0913388729095457,6.5027171519729825e-09,2.0734829172805855e-07,15.0,18.0,1.2647344006432427e-07,1.5098174413045246e-07,2.774551841947768e-07
2022-03-09,0.0780630111694334,4.508124648801087e-09,1.4474484985720806e-07,15.0,18.0,1.080294450124105e-07,1.282934347788493e-07,2.3632287979125983e-07
2022-03-10,0.10669016838073721,7.589887335830264e-09,2.080197346478321e-07,15.0,18.0,1.4770362112257222e-07,1.7613848050435384e-07,3.23842101626926e-07
2022-03-11,0.1522026062011717,1.0864285564687516e-08,2.080556036595806e-07,15.0,18.0,2.1104680167304152e-07,2.525059382120769e-07,4.635527398851183e-07
2022-03-12,0.09363055229187,6.66683597140842e-09,2.0616634760464267e-07,15.0,18.0,1.2963149282667373e-07,1.548262437184652e-07,2.844577365451389e-07
2022-03-13,0.07059478759765611,5.017422821985351e-09,2.0659222535772025e-07,15.0,18.0,9.766783979203966e-08,1.1641343434651694e-07,2.1408127413855658e-07
2022-03-14,0.10357403755187969,7.376319447027314e-09,2.0767583366528116e-07,15.0,18.0,1.4339453644222685e-07,1.713351408640544e-07,3.147296773062813e-07
2022-03-15,0.0923480987548827,6.572875289188492e-09,2.0765163852651086e-07,15.0,18.0,1.2786553965674505e-07,1.5258312225341797e-07,2.8044866191016307e-07
2022-03-16,0.0570487976074216,4.045513765414557e-09,2.0763985065925978e-07,15.0,18.0,7.883906364440919e-08,9.377320607503256e-08,1.7261226971944176e-07
2022-03-17,0.0781004428863524,5.550202474262981e-09,2.056220999401687e-07,15.0,18.0,1.0801917976803251e-07,1.287945111592611e-07,2.3681369092729372e-07
2022-03-18,0.06422066688537581,4.561070526308484e-09,2.077601811821673e-07,15.0,18.0,8.882151709662544e-08,1.0578831036885583e-07,1.9460982746548121e-07
2022-03-19,0.0727057456970213,5.14839813027117e-09,2.020379705890776e-07,15.0,18.0,1.0023746225568983e-07,1.1943221092224124e-07,2.1966967317793106e-07
2022-03-20,0.0665833950042722,4.728425622648663e-09,2.0739818735342755e-07,15.0,18.0,9.211169348822701e-08,1.0963877042134604e-07,2.0175046390957302e-07
2022-03-21,0.0806758403778075,5.738587937884862e-09,2.0694715553033727e-07,15.0,18.0,1.1166466606987848e-07,1.3318697611490887e-07,2.4485164218478733e-07
2022-03-22,0.062265634536743004,4.418072100083033e-09,2.0602513009530668e-07,15.0,18.0,8.607506752014161e-08,1.0243336359659831e-07,1.8850843111673994e-07
2022-03-23,0.09002017974853499,6.404812402791448e-09,2.0774968922557777e-07,15.0,18.0,1.2456940280066598e-07,1.487084229787191e-07,2.7327782577938516e-07
2022-03-24,0.1222662925720214,8.711815288861594e-09,2.0721766192552337e-07,15.0,18.0,1.6933480898539228e-07,2.023772398630778e-07,3.7171204884847015e-07
2022-03-25,0.0616400241851805,4.377353993588024e-09,2.0648200500523186e-07,15.0,18.0,8.519722355736627e-08,1.0157386461893721e-07,1.8677108817630345e-07
2022-03-26,0.0661833286285399,4.705830666820209e-09,2.0740657518930174e-07,15.0,18.0,9.158949057261148e-08,1.0919690132141113e-07,2.007863918940226e-07
2022-03-27,0.08439660072326641,6.010557819406194e-09,2.0765286884060215e-07,15.0,18.0,1.1689364910125733e-07,1.3956228892008467e-07,2.56455938021342e-07
2022-03-28,0.0557658672332762,3.9574684075514475e-09,2.0796284979934298e-07,15.0,18.0,7.709860801696777e-08,9.175697962443036e-08,1.6885558764139815e-07
2022-03-29,0.0621738433837889,4.417499348918598e-09,2.071164029692187e-07,15.0,18.0,8.601248264312744e-08,1.024715105692546e-07,1.8848399321238206e-07
2022-03-30,0.0740242004394529,5.2690328741735895e-09,2.0756653387986682e-07,15.0,18.0,1.0250177648332385e-07,1.2231508890787768e-07,2.248168653912015e-07
2022-03-31,0.0649158954620359,4.606449802849028e-09,2.0627459631940898e-07,15.0,18.0,8.968843354119195e-08,1.068576176961263e-07,1.9654605123731827e-07
2022-04-01,0.10091090202331529,7.182310467229952e-09,2.076463461924053e-07,15.0,18.0,1.3976660039689808e-07,1.666851838429769e-07,3.0645178423987497e-07
2022-04-02,0.1198103427886962,8.5377843042877e-09,2.0720696701715742e-07,15.0,18.0,1.6595886813269722e-07,1.983277002970378e-07,3.64286568429735e-07
2022-04-03,0.1338014602661132,9.544286599887743e-09,2.072355670085318e-07,15.0,18.0,1.8545620971255832e-07,2.2177537282307945e-07,4.0723158253563774e-07
2022-04-04,0.09694790840148909,6.882340969840687e-09,2.0581996695110077e-07,15.0,18.0,1.3405779997507734e-07,1.5959501266479493e-07,2.936528126398723e-07
2022-04-05,0.0631530284881591,4.483922962281439e-09,2.0616964327706286e-07,15.0,18.0,8.733305666181775e-08,1.0398507118225098e-07,1.9131812784406873e-07
2022-04-06,0.07705497741699201,5.47807152748108e-09,2.0898873752849262e-07,15.0,18.0,1.0662476221720377e-07,1.2711127599080403e-07,2.337360382080078e-07
2022-04-07,0.08175706863403301,5.6755984370376224e-09,1.484144815425857e-07,15.0,18.0,1.1320478386349148e-07,1.3507008552551268e-07,2.4827486938900414e-07
2022-04-08,0.1496298313140868,1.0668122171296015e-08,2.0560713807356237e-07,15.0,18.0,2.072943581475152e-07,2.4788856506347656e-07,4.5518292321099177e-07
2022-04-09,0.0769670009613036,5.4754390451643215e-09,2.07660636951834e-07,15.0,18.0,1.0654860072665743e-07,1.2707511583964032e-07,2.3362371656629778e-07
2022-04-10,0.112215757369995,7.99763494326009e-09,2.0700499202347111e-07,15.0,18.0,1.554869943194919e-07,1.8575270970662438e-07,3.412397040261163e-07
2022-04-11,0.08426809310913069,5.999782647093138e-09,2.0775436129680848e-07,15.0,18.0,1.1669894059499107e-07,1.392972469329834e-07,2.559961875279745e-07
2022-04-12,0.0670788288116453,4.7566642728779055e-09,2.0748069694964764e-07,15.0,18.0,9.26795932981703e-08,1.1027574539184573e-07,2.0295533869001606e-07
2022-04-13,0.31887364387512196,2.2785976878735755e-08,2.0575093252767635e-07,15.0,18.0,4.423860046598646e-07,5.298364162445068e-07,9.722224209043716e-07
2022-04-14,0.0818827152252196,5.831072505315144e-09,2.077852889067901e-07,15.0,18.0,1.1340975761413576e-07,1.3538797696431478e-07,2.4879773457845054e-07
2022-04-15,0.0865662097930906,6.1574723735120565e-09,2.0633955454125194e-07,15.0,18.0,1.197920905219184e-07,1.4293233553568523e-07,2.627244260576036e-07
2022-04-16,0.0992350578308105,7.069543679025441e-09,2.0675224018667764e-07,15.0,18.0,1.3746685451931423e-07,1.6417344411214194e-07,3.0164029863145614e-07
2022-04-17,0.1027748584747313,7.319165399935512e-09,2.056983577644921e-07,15.0,18.0,1.4226800865597195e-07,1.7002304395039877e-07,3.122910526063708e-07
2022-04-18,0.1357898712158202,9.689363383319645e-09,2.077864218051616e-07,15.0,18.0,1.882599459754096e-07,2.2516171137491862e-07,4.1342165735032826e-07
2022-04-19,0.06823778152465809,4.85280575560199e-09,2.0758996546865973e-07,15.0,18.0,9.444720215267606e-08,1.1261026064554851e-07,2.070574627982246e-07
2022-04-20,0.104532480239868,7.439696148369047e-09,2.07005773211852e-07,15.0,18.0,1.4475716484917537e-07,1.7267664273579915e-07,3.1743380758497445e-07
2022-04-21,0.0793204307556151,5.643782874544463e-09,2.0732280871401177e-07,15.0,18.0,1.0981261730194091e-07,1.3099392255147303e-07,2.408065398534139e-07
2022-04-22,0.0810732841491697,5.759317183958161e-09,2.04944316071683e-07,15.0,18.0,1.1211799250708686e-07,1.336181163787842e-07,2.4573610888587104e-07
2022-04-23,0.080519914627075,5.724787583947182e-09,2.0729169209433548e-07,15.0,18.0,1.1138617992401126e-07,1.3287663459777834e-07,2.442628145217896e-07
2022-04-24,0.0753672122955321,5.35254589219888e-09,2.078343127792618e-07,15.0,18.0,1.0416805744171142e-07,1.2421210606892904e-07,2.2838016351064045e-07
2022-04-25,0.1055419445037841,7.520034976336692e-09,2.0660795711577982e-07,15.0,18.0,1.4620853794945617e-07,1.7465313275655114e-07,3.208616707060073e-07
2022-04-26,0.0987682342529295,7.031256272594136e-09,2.0554121215324338e-07,15.0,18.0,1.3672014077504476e-07,1.6328652699788414e-07,3.0000666777292887e-07
2022-04-27,0.0760493278503416,5.406666996810171e-09,2.0782225945831696e-07,15.0,18.0,1.0524425241682266e-07,1.2544512748718263e-07,2.3068937990400526e-07
2022-04-28,0.1102421283721923,7.850456520054075e-09,2.050284377703668e-07,15.0,18.0,1.525931888156467e-07,1.8236676851908367e-07,3.3495995733473035e-07
